ἄβαξ,
ἀγαθός,
ἀγαθός,ἀγαθόω,
ἄγαλμα,
ἀγανακτέω,
ἀγαπάω,ἀγαπάζω,
ἁγέομαι,ἡγέομαι,
ἁγηλατέω,ἡγηλατέω,
ἀγητός,
ἀγνοέω,
Ἅγνων,
ἀγορά,
ἀγορά,ἀγοράομαι,ἀγοράζω,
ἀγοράζω,
ἀγορανόμος,
ἀγορεύω,
ἄγος,
ἄγρα,ἀγρέω,ἀγρός,
ἀγράφιος,
ἄγροικος,ἀγροῖκος,
ἀγρός,
ἀγρότερος,
Ἀγύρριος,
ἄγω,
ἄγω,ἀγάω,
ἀγώγιμος,
ἀγών,
ἀγωνίζομαι,
ἀγωνιστής,
ἄγωνος,ἀγών,
ἀδελφή,
ἀδελφός,
ἀδικέω,
ἀδίκημα,ἀδικέω,
ἀδίκιον,
ἄδικος,
ἀδόκιμος,
ἀδύνατος,ἀδυνατόω,
ἀδωροδόκητος,
ἀεί,
ἀείδω,
ἀεικής,
ἀειφυγία,
ἀζήμιος,
Ἀθήναια,Ἀθήναιον,Ἀθήναιος,Ἀθηναῖος,
Ἀθηναῖος,
Ἀθήναιος,Ἀθηναῖος,
Ἀθήνευς,
Ἀθήνευς,Ἀθήνη,Ἀθῆναι,
Ἀθήνη,
ἀθλητής,
ἀθλοθέτης,
ἆθλον,
ἆθλον,ἆθλος,
ἀθροίζω,
ἀθυμέω,
αἰαῖ,
Αἴγυπτος,
αἴδεσις,
αἰκία,
αἰκίζομαι,αἰκίζω,
αἰνέω,
αἵρεσις,
αἱρετός,
αἱρέω,
αἰτέω,
αἰτιάομαι,
αἴτιος,
αἴτιος,αἰτέω,
αἴτιος,αἰτία,
Ἄκαστος,
ἀκίβδηλος,
ἀκληρωτί,
ἀκολουθέω,
ἀκοντίζω,
ἀκοσμέω,
ἄκουσις,ἀεκούσιος,ἀκούσιος,ἀκούω,
ἀκούω,
ἄκριτος,
ἀκρόπολις,
Ἀκτή,
ἄκυρον,ἄκυρος,
ἄκυρος,
ἄκων,ἀέκων,
ἄλγος,
Ἀλέξιος,Ἀλεξίης,
ἀληθής,
ἁλίσκομαι,
ἁλίσκομαι,ἁλώνης,
ἀλκή,
Ἀλκμαιωνίδαι,
Ἀλκμέων,
ἀλλά,
ἀλλήλων,
ἄλλος,
ἄλλος,ἀλλά,ἑλλός,ἐλλός,
ἄλλος,ἄλλως,
ἄλλοτε,
ἀλλότριος,
ἄλφιτον,
Ἀλωπεκῆθεν,
ἅμα,
ἁμαρτάνω,
ἁμαρτία,
ἀμείβω,
ἀμείνων,
ἅμιππος,
ἄμισθος,
Ἄμμων,
Ἀμπρακιώτης,
ἀμφιβάλλω,
ἀμφικτίονες,
ἀμφισβητέω,
ἀμφισβήτησις,
ἀμφισβήτησις,ἀμφισβητέω,
ἀμφορεύς,
ἀμφότερος,
ἄμφω,
ἄν1,
ἄν1,ἄν2,ἀνά,ἐάν,
ἀνά-ὀχλέω,
ἀνά,
ἀναβαίνω,
ἀναβάλλω,
ἀναγιγνώσκω,
ἀναγκάζω,
ἀναγκαῖον,ἀναγκαῖος,
ἀνάγκη,
ἀνάγκη,ἀναγκαίη,ἀναγκαῖος,
ἀναγορεύω,
ἀναγράφω,
ἀνάγω,
ἀνάδαστος,
ἀναθέω,ἀνατίθημι,
ἀνάθημα,
ἀναιρέω,
ἀναιρέω,ἀνειλέω,
ἀναιρέω,ἀνιερόω,
ἀναίτιος,
ἀνακαλέω,
ἀνάκειμαι,
ἀνακηρύσσω,
ἀνακράζω,
Ἀνακρέων,
ἀνακρίνω,
ἀναλαμβάνω,
ἀναλίσκω,
ἀναλογίζομαι,
ἀνάλογος,
ἀνάλωμα,
ἀναμίσγω,
ἀναμφισβήτητος,
ἀνάξιος,ἀνάγω,ἀνάσσω,ἀνάζω,ἀναξέω,
ἀναπληρόω,
ἀνάπτω,
ἀνάπτω,ἀναβαίνω,
ἀναρχία,
ἀνασῴζω,
ἀναταράσσω,
ἀνατίθημι,
ἀναφέρω,
Ἀναφλύστιος,
ἀναχώννυμι,ἀνέχω,
